name
PL-05703 Forvia 567L Xtemp Hot Cycle_1
Title
Cobra 1.3.00
Author
DAQ3.powertech.local
Log Rate = 0.500000

Time	RH	Ttank	Tamb	Tfuel	Fout	Ptank	SOC
2025-11-10 15:05:29.2967	100.298627	63.950000	52.424348	-18.650803	2.681437	72.561277	91.702962
2025-11-10 15:05:29.7967	100.016521	63.950000	52.407362	-18.628567	2.683139	72.561785	91.703413
2025-11-10 15:05:30.2967	99.761109	63.900000	52.411950	-18.627260	2.684674	72.540697	91.694481
2025-11-10 15:05:30.7967	99.964342	63.900000	52.402060	-18.591761	2.684689	72.542087	91.695715
2025-11-10 15:05:31.2967	100.121447	63.900000	52.402567	-18.576350	2.683489	72.524593	91.680188
2025-11-10 15:05:31.7967	100.101622	63.900000	52.405089	-18.574175	2.680937	72.522270	91.678126
2025-11-10 15:05:32.2967	99.885565	63.899902	52.407445	-18.530493	2.685496	72.513370	91.670226
2025-11-10 15:05:32.7967	99.865858	63.850098	52.403531	-18.516951	2.685207	72.495706	91.664326
2025-11-10 15:05:33.2967	99.721268	63.800098	52.422363	-18.494085	2.670548	72.488620	91.667816
2025-11-10 15:05:33.7967	100.298745	63.850000	52.407097	-18.471620	2.672504	72.485755	91.655490
2025-11-10 15:05:34.2967	100.121646	63.850000	52.426482	-18.448366	2.682144	72.475228	91.646143
2025-11-10 15:05:34.7967	100.056061	63.800098	52.416324	-18.440317	2.685964	72.467667	91.649209
2025-11-10 15:05:35.2967	99.898669	63.800098	52.402800	-18.416587	2.675915	72.459480	91.641937
2025-11-10 15:05:35.7967	99.996873	63.800000	52.416746	-18.393622	2.680955	72.448732	91.632391
2025-11-10 15:05:36.2967	100.036280	63.800000	52.416582	-18.386280	2.682868	72.436204	91.621263
2025-11-10 15:05:36.7967	99.773970	63.800000	52.404183	-18.352712	2.683614	72.426677	91.612800
2025-11-10 15:05:37.2967	100.010234	63.799902	52.412145	-18.350754	2.685632	72.414692	91.602152
2025-11-10 15:05:37.7967	99.997293	63.750000	52.408475	-18.317103	2.683991	72.403453	91.601945
2025-11-10 15:05:38.2967	100.029758	63.750000	52.397796	-18.298615	2.681796	72.401012	91.599776
2025-11-10 15:05:38.7967	100.128072	63.749902	52.406246	-18.291825	2.684155	72.394214	91.593735
2025-11-10 15:05:39.2967	99.918368	63.700000	52.404233	-18.251488	2.678829	72.378381	91.589443
2025-11-10 15:05:39.7967	99.898823	63.700000	52.403304	-18.251812	2.678275	72.381907	91.592577
2025-11-10 15:05:40.2967	100.009881	63.700000	52.415385	-18.215209	2.682194	72.359123	91.572325
2025-11-10 15:05:40.7967	100.062355	63.650000	52.412389	-18.195596	2.682017	72.357021	91.580238
2025-11-10 15:05:41.2967	100.023309	63.650098	52.411858	-18.186676	2.683429	72.348647	91.572792
2025-11-10 15:05:41.7967	100.023404	63.650000	52.408114	-18.171444	2.685940	72.328559	91.554930
2025-11-10 15:05:42.2967	99.773992	63.650000	52.406999	-18.141622	2.681267	72.332763	91.558668
2025-11-10 15:05:42.7967	99.996726	63.649902	52.423268	-18.116984	2.682489	72.320133	91.547437
2025-11-10 15:05:43.2967	100.239719	63.649902	52.412321	-18.104087	2.681875	72.301740	91.531079
2025-11-10 15:05:43.7967	100.003513	63.600000	52.403285	-18.087468	2.676867	72.294451	91.534375
2025-11-10 15:05:44.2967	99.937987	63.550000	52.416117	-18.071335	2.678833	72.283771	91.534656
2025-11-10 15:05:44.7967	99.990667	63.550098	52.407416	-18.041035	2.690626	72.276194	91.527914
2025-11-10 15:05:45.2967	100.147684	63.550000	52.408865	-18.025308	2.677041	72.263310	91.516451
2025-11-10 15:05:45.7967	99.885381	63.550000	52.422249	-18.014055	2.680636	72.261920	91.515214
2025-11-10 15:05:46.2967	99.957900	63.550000	52.415994	-17.990706	2.684124	72.256427	91.510326
2025-11-10 15:05:46.7967	99.839775	63.500098	52.420787	-17.961073	2.685269	72.239831	91.505338
2025-11-10 15:05:47.2967	100.114851	63.500000	52.442615	-17.946305	2.679705	72.232271	91.498609
2025-11-10 15:05:47.7967	100.160891	63.500000	52.425555	-17.918681	2.684093	72.234695	91.500766
